"Time","CO2 {DeviceID=""AirSENCE-0322068B40233"", name=""Pollutant""}","CO2 {DeviceID=""AirSENCE-032206C140232"", name=""Pollutant""}","CO2 {DeviceID=""AirSENCE-0322223F40230"", name=""Pollutant""}","CO2 {DeviceID=""AirSENCE-032223EF40231"", name=""Pollutant""}","CO2 {DeviceID=""AirSENCE-1021C53740216"", name=""Pollutant""}","CO2 {DeviceID=""AirSENCE-1021C65A40214"", name=""Pollutant""}","CO2 {DeviceID=""AirSENCE-1021C6C640218"", name=""Pollutant""}"
2022-10-09 10:00:00,,,460,,446,473,450
2022-10-09 11:00:00,,,457,,440,468,446
2022-10-09 12:00:00,,,453,,435,467,444
2022-10-09 13:00:00,,,455,,432,464,444
2022-10-09 14:00:00,,,459,,431,466,443
2022-10-09 15:00:00,,,461,,453,477,453
2022-10-09 16:00:00,,,470,,455,478,457
2022-10-09 17:00:00,,,473,,437,469,448
2022-10-09 18:00:00,,,461,,441,472,449
2022-10-09 19:00:00,,,463,,437,469,450
2022-10-09 20:00:00,,,457,,434,463,446
2022-10-09 21:00:00,,,464,,440,468,449
2022-10-09 22:00:00,,,470,,450,472,454
2022-10-09 23:00:00,,,465,,453,473,457
2022-10-10 00:00:00,,,451,,448,472,455
2022-10-10 01:00:00,,,449,,449,472,453
2022-10-10 02:00:00,,,449,,445,471,451
2022-10-10 03:00:00,,,447,,444,469,451
2022-10-10 04:00:00,,,448,,444,471,452
2022-10-10 05:00:00,,,447,,444,472,449
2022-10-10 06:00:00,,,448,,447,473,453
2022-10-10 07:00:00,,,454,,448,474,453
2022-10-10 08:00:00,489,454,459,,462,485,460
2022-10-10 09:00:00,489,446,462,,460,486,465
2022-10-10 10:00:00,485,439,458,,453,480,459
2022-10-10 11:00:00,475,430,451,,444,470,455
2022-10-10 12:00:00,460,417,446,,431,461,441
2022-10-10 13:00:00,460,415,446,,431,460,441
2022-10-10 14:00:00,465,418,449,,437,461,445
2022-10-10 15:00:00,471,422,448,,451,470,448
2022-10-10 16:00:00,468,420,447,,441,471,446
2022-10-10 17:00:00,474,422,445,,441,476,447
2022-10-10 18:00:00,475,425,443,,441,473,452
2022-10-10 19:00:00,476,429,450,,442,481,457
2022-10-10 20:00:00,490,463,470,,475,507,466
2022-10-10 21:00:00,528,502,482,,474,503,459
2022-10-10 22:00:00,506,445,488,,459,477,463
2022-10-10 23:00:00,480,432,477,,447,468,452
2022-10-11 00:00:00,478,430,462,,445,467,455
2022-10-11 01:00:00,482,435,464,,451,472,457
2022-10-11 02:00:00,495,449,468,,459,479,446
2022-10-11 03:00:00,503,455,472,,453,474,458
2022-10-11 04:00:00,514,464,503,,454,477,484
2022-10-11 05:00:00,534,486,508,,494,509,517
2022-10-11 06:00:00,552,504,532,,528,540,510
2022-10-11 07:00:00,561,523,562,,534,565,488
2022-10-11 08:00:00,582,546,622,,582,580,479
2022-10-11 09:00:00,598,578,576,,577,612,479
2022-10-11 10:00:00,546,487,509,,491,529,491
2022-10-11 11:00:00,508,452,477,,480,508,478
2022-10-11 12:00:00,502,451,478,,477,501,473
2022-10-11 13:00:00,485,449,485,,476,498,472
2022-10-11 14:00:00,480,447,476,,468,495,471
2022-10-11 15:00:00,481,444,476,,473,493,466
2022-10-11 16:00:00,500,444,472,,469,502,479
2022-10-11 17:00:00,504,443,469,,466,498,474
2022-10-11 18:00:00,514,446,475,,472,503,473
2022-10-11 19:00:00,498,481,481,,468,494,465
2022-10-11 20:00:00,486,485,471,,458,483,456
2022-10-11 21:00:00,484,473,461,,454,479,451
2022-10-11 22:00:00,500,476,463,,449,478,456
2022-10-11 23:00:00,479,445,458,,447,477,454
2022-10-12 00:00:00,477,439,457,,445,475,454
2022-10-12 01:00:00,474,433,456,,443,473,454
2022-10-12 02:00:00,471,430,450,,440,471,449
2022-10-12 03:00:00,470,428,446,,438,470,446
2022-10-12 04:00:00,475,430,454,,439,473,448
2022-10-12 05:00:00,476,431,451,,438,472,449
2022-10-12 06:00:00,477,436,453,,442,473,449
2022-10-12 07:00:00,496,457,463,,448,483,454
2022-10-12 08:00:00,521,482,485,,461,496,461
2022-10-12 09:00:00,520,467,490,,466,510,467
2022-10-12 10:00:00,510,446,478,,465,495,461
2022-10-12 11:00:00,481,436,461,,462,484,455
2022-10-12 12:00:00,480,431,460,,464,486,454
2022-10-12 13:00:00,478,436,464,,460,479,454
2022-10-12 14:00:00,474,433,459,,453,478,451
2022-10-12 15:00:00,474,429,459,,455,481,450
2022-10-12 16:00:00,479,436,460,,455,477,448
2022-10-12 17:00:00,486,431,461,,455,482,452
2022-10-12 18:00:00,503,444,465,,461,492,459
2022-10-12 19:00:00,495,439,461,,451,492,455
2022-10-12 20:00:00,477,435,457,,448,490,450
2022-10-12 21:00:00,473,426,451,,442,481,446
2022-10-12 22:00:00,463,420,443,,440,472,442
2022-10-12 23:00:00,461,417,441,,437,472,441
2022-10-13 00:00:00,457,414,435,,430,466,436
2022-10-13 01:00:00,458,416,435,,431,465,436
2022-10-13 02:00:00,460,412,435,,429,465,436
2022-10-13 03:00:00,466,415,442,,432,472,441
2022-10-13 04:00:00,468,415,442,,432,473,441
2022-10-13 05:00:00,468,414,441,,433,474,441
2022-10-13 06:00:00,468,417,442,,435,476,443
2022-10-13 07:00:00,475,425,448,,438,479,445
2022-10-13 08:00:00,490,435,462,,448,489,449
2022-10-13 09:00:00,513,437,496,,467,499,469
2022-10-13 10:00:00,501,433,491,,458,488,466
2022-10-13 11:00:00,495,439,480,,455,490,460
2022-10-13 12:00:00,494,451,478,,463,492,460
2022-10-13 13:00:00,489,447,473,,472,493,456
2022-10-13 14:00:00,478,437,466,,460,486,452
2022-10-13 15:00:00,479,436,460,,459,483,453
2022-10-13 16:00:00,480,433,458,,456,478,447
2022-10-13 17:00:00,476,434,457,,451,475,444
2022-10-13 18:00:00,483,438,459,,444,472,440
2022-10-13 19:00:00,486,447,461,,444,476,443
2022-10-13 20:00:00,488,453,461,,449,478,447
2022-10-13 21:00:00,486,463,457,,451,479,448
2022-10-13 22:00:00,491,462,463,,451,479,451
2022-10-13 23:00:00,492,457,465,,459,484,454
2022-10-14 00:00:00,509,465,473,,469,494,463
2022-10-14 01:00:00,536,484,490,,508,525,503
2022-10-14 02:00:00,508,460,473,,478,506,476
2022-10-14 03:00:00,466,423,441,,436,465,440
2022-10-14 04:00:00,462,421,439,,433,462,438
2022-10-14 05:00:00,462,422,435,,432,461,437
2022-10-14 06:00:00,481,442,448,,443,473,447
2022-10-14 07:00:00,497,467,483,,460,492,458
2022-10-14 08:00:00,514,495,489,,474,509,467
2022-10-14 09:00:00,523,497,508,,488,520,472
2022-10-14 10:00:00,494,451,480,,464,496,466
2022-10-14 11:00:00,484,437,468,,453,481,461
2022-10-14 12:00:00,483,439,462,,452,473,450
2022-10-14 13:00:00,472,438,465,,455,475,444
2022-10-14 14:00:00,469,425,451,,453,481,447
2022-10-14 15:00:00,468,426,449,,451,467,442
2022-10-14 16:00:00,479,421,447,,452,472,447
2022-10-14 17:00:00,483,420,446,,445,475,446
2022-10-14 18:00:00,497,427,449,,448,476,447
2022-10-14 19:00:00,486,452,458,,464,482,449
2022-10-14 20:00:00,491,469,482,,462,500,461
2022-10-14 21:00:00,501,489,507,,455,496,450
2022-10-14 22:00:00,497,451,468,,460,500,447
2022-10-14 23:00:00,478,428,447,,444,471,442
2022-10-15 00:00:00,475,425,445,,443,471,445
2022-10-15 01:00:00,478,434,448,,445,473,447
2022-10-15 02:00:00,476,432,446,,442,472,449
2022-10-15 03:00:00,473,426,444,,439,471,447
2022-10-15 04:00:00,471,427,444,,437,467,445
2022-10-15 05:00:00,467,423,441,,434,464,442
2022-10-15 06:00:00,462,418,437,,430,460,439
2022-10-15 07:00:00,460,418,436,,428,456,435
2022-10-15 08:00:00,459,416,436,,427,456,434
2022-10-15 09:00:00,466,422,443,,433,462,437
2022-10-15 10:00:00,467,429,455,,437,465,437
2022-10-15 11:00:00,478,427,462,,440,467,441
2022-10-15 12:00:00,481,428,469,,446,472,447
2022-10-15 13:00:00,462,414,452,,431,458,437
2022-10-15 14:00:00,461,411,452,,427,452,434
2022-10-15 15:00:00,461,410,446,,426,452,433
2022-10-15 16:00:00,459,408,446,,426,449,434
2022-10-15 17:00:00,459,411,452,,428,450,435
2022-10-15 18:00:00,465,416,451,,432,456,434
2022-10-15 19:00:00,471,421,457,,438,461,438
2022-10-15 20:00:00,476,425,458,,444,466,443
2022-10-15 21:00:00,485,442,464,,448,471,450
2022-10-15 22:00:00,485,448,461,,450,469,453
2022-10-15 23:00:00,489,446,460,,446,471,452
2022-10-16 00:00:00,474,427,453,,443,464,447
2022-10-16 01:00:00,471,428,449,,441,462,446
2022-10-16 02:00:00,469,429,449,,442,463,446
2022-10-16 03:00:00,486,448,453,,445,466,449
2022-10-16 04:00:00,496,454,462,,445,467,456
2022-10-16 05:00:00,490,446,461,,445,469,457
2022-10-16 06:00:00,479,440,459,,446,470,454
2022-10-16 07:00:00,484,444,462,,450,472,457
2022-10-16 08:00:00,497,457,473,,453,475,460
2022-10-16 09:00:00,496,456,482,,455,474,463
2022-10-16 10:00:00,487,452,488,,457,478,458
2022-10-16 11:00:00,488,447,469,,461,476,457
