"Time","Elevation {DeviceID=""AirSENCE-0322068B40233"", name=""Pollutant""}","Elevation {DeviceID=""AirSENCE-032206C140232"", name=""Pollutant""}","Elevation {DeviceID=""AirSENCE-0322223F40230"", name=""Pollutant""}","Elevation {DeviceID=""AirSENCE-032223EF40231"", name=""Pollutant""}","Elevation {DeviceID=""AirSENCE-1021BFD040215"", name=""Pollutant""}","Elevation {DeviceID=""AirSENCE-1021C46E40217"", name=""Pollutant""}","Elevation {DeviceID=""AirSENCE-1021C53740216"", name=""Pollutant""}","Elevation {DeviceID=""AirSENCE-1021C65A40214"", name=""Pollutant""}","Elevation {DeviceID=""AirSENCE-1021C6C640218"", name=""Pollutant""}","Elevation {DeviceID=""AirSENCE-1021C73840220"", name=""Pollutant""}"
2022-10-09 11:00:00,177,171,173,189,186,176,187,189,178,194
2022-10-09 12:00:00,169,158,178,186,196,186,179,185,165,202
2022-10-09 13:00:00,167,161,190,178,189,181,186,170,187,212
2022-10-09 14:00:00,156,156,171,193,180,183,176,174,191,180
2022-10-09 15:00:00,167,162,176,183,188,185,178,171,180,195
2022-10-09 16:00:00,164,167,180,181,181,181,197,189,195,212
2022-10-09 17:00:00,184,169,183,204,201,175,190,183,202,193
2022-10-09 18:00:00,179,176,176,186,201,186,183,183,177,226
2022-10-09 19:00:00,166,178,178,204,201,183,190,192,157,194
2022-10-09 20:00:00,158,152,160,181,183,194,181,218,216,211
2022-10-09 21:00:00,158,145,180,173,190,177,190,186,193,202
2022-10-09 22:00:00,159,163,179,171,204,183,171,156,144,168
2022-10-09 23:00:00,169,168,180,196,200,189,177,167,178,172
2022-10-10 00:00:00,187,160,181,190,199,197,198,195,190,191
2022-10-10 01:00:00,192,174,176,190,189,175,186,151,220,210
2022-10-10 02:00:00,181,174,189,183,184,181,201,187,163,207
2022-10-10 03:00:00,188,176,195,183,211,183,180,182,179,213
2022-10-10 04:00:00,178,173,195,190,235,202,207,205,186,185
2022-10-10 05:00:00,185,159,169,188,192,186,187,175,228,182
2022-10-10 06:00:00,184,176,169,188,208,214,179,166,199,201
2022-10-10 07:00:00,179,179,169,197,200,198,180,179,151,192
2022-10-10 08:00:00,169,169,168,197,184,181,181,193,224,197
2022-10-10 09:00:00,183,173,189,189,173,186,186,182,174,191
2022-10-10 10:00:00,180,183,184,189,202,199,183,194,164,194
2022-10-10 11:00:00,171,168,172,187,192,181,180,175,187,206
2022-10-10 12:00:00,176,153,177,187,196,184,183,197,152,199
2022-10-10 13:00:00,113,162,181,185,181,183,181,174,191,196
2022-10-10 14:00:00,-73.9,152,172,190,180,181,174,170,185,196
2022-10-10 15:00:00,145,152,193,176,190,178,173,169,164,167
2022-10-10 16:00:00,170,159,180,171,207,178,185,170,162,241
2022-10-10 17:00:00,179,182,169,194,193,181,182,183,201,186
2022-10-10 18:00:00,175,174,177,199,187,187,191,199,180,189
2022-10-10 19:00:00,178,177,187,184,188,196,166,179,145,219
2022-10-10 20:00:00,160,152,160,175,187,176,171,179,219,211
2022-10-10 21:00:00,157,155,172,164,188,181,201,185,224,196
2022-10-10 22:00:00,168,167,172,182,206,173,170,184,191,172
2022-10-10 23:00:00,185,176,187,203,194,186,183,167,195,162
2022-10-11 00:00:00,172,154,184,163,199,190,188,190,186,198
2022-10-11 01:00:00,196,171,169,186,184,178,193,168,251,225
2022-10-11 02:00:00,190,180,182,178,192,189,188,194,191,211
2022-10-11 03:00:00,177,171,199,188,199,181,187,188,177,216
2022-10-11 04:00:00,181,179,183,181,206,189,214,202,177,204
2022-10-11 05:00:00,166,156,169,184,195,184,181,164,213,186
2022-10-11 06:00:00,169,169,175,188,206,213,171,182,191,215
2022-10-11 07:00:00,185,166,169,198,199,191,188,169,155,190
2022-10-11 08:00:00,180,159,166,192,202,187,178,175,206,198
2022-10-11 09:00:00,183,173,189,186,202,177,174,186,169,195
2022-10-11 10:00:00,181,167,179,189,206,203,186,232,150,181
2022-10-11 11:00:00,180,167,171,193,179,191,187,178,166,196
2022-10-11 12:00:00,164,145,169,184,186,182,178,197,143,191
2022-10-11 13:00:00,166,155,174,185,192,184,173,183,184,198
2022-10-11 14:00:00,161,155,156,188,192,180,172,164,169,188
2022-10-11 15:00:00,164,162,185,173,176,176,177,171,157,204
2022-10-11 16:00:00,178,160,181,178,203,191,199,171,216,199
