"Time","NO {DeviceID=""AirSENCE-0322068B40233"", name=""Pollutant""}","NO {DeviceID=""AirSENCE-032206C140232"", name=""Pollutant""}","NO {DeviceID=""AirSENCE-0322223F40230"", name=""Pollutant""}","NO {DeviceID=""AirSENCE-032223EF40231"", name=""Pollutant""}","NO {DeviceID=""AirSENCE-1021BFD040215"", name=""Pollutant""}","NO {DeviceID=""AirSENCE-1021C46E40217"", name=""Pollutant""}","NO {DeviceID=""AirSENCE-1021C53740216"", name=""Pollutant""}","NO {DeviceID=""AirSENCE-1021C65A40214"", name=""Pollutant""}","NO {DeviceID=""AirSENCE-1021C6C640218"", name=""Pollutant""}","NO {DeviceID=""AirSENCE-1021C73840220"", name=""Pollutant""}"
2022-10-09 11:00:00,14.6,11.1,13.9,18.1,13.5,11.4,12.1,15.8,16.9,17.9
2022-10-09 12:00:00,17.3,12.2,14.5,18.2,15.9,12.1,13.6,17.0,17.7,20.0
2022-10-09 13:00:00,17.9,13.6,15.4,20.3,17.4,16.1,16.9,19.3,20.2,21.4
2022-10-09 14:00:00,17.0,12.9,15.6,19.0,16.3,14.4,16.4,19.7,19.4,20.3
2022-10-09 15:00:00,11.8,12.5,11.5,12.3,15.1,11.0,12.8,15.1,15.8,16.0
2022-10-09 16:00:00,11.5,10.5,11.3,12.6,12.4,10.9,14.6,14.2,16.0,17.3
2022-10-09 17:00:00,15.1,8.42,12.9,15.7,12.7,12.1,13.1,16.3,18.2,18.9
2022-10-09 18:00:00,14.5,8.77,12.4,14.2,12.9,11.9,14.9,15.5,16.8,17.1
2022-10-09 19:00:00,14.9,8.63,12.7,15.1,13.0,11.6,14.5,15.4,18.8,18.9
2022-10-09 20:00:00,13.8,8.68,12.5,14.7,12.4,11.2,12.9,15.0,16.5,17.9
2022-10-09 21:00:00,12.9,7.80,12.9,14.1,12.7,9.22,11.5,14.9,15.0,17.0
2022-10-09 22:00:00,11.6,10.4,12.1,12.4,16.7,9.92,12.2,15.1,14.1,14.4
2022-10-09 23:00:00,9.99,6.36,12.2,12.7,12.9,8.81,10.9,12.1,13.4,15.1
2022-10-10 00:00:00,9.09,6.68,11.2,10.5,10.4,7.47,8.77,11.1,12.7,13.6
2022-10-10 01:00:00,9.62,10.7,12.0,11.9,11.7,9.49,10.6,11.7,13.0,13.6
2022-10-10 02:00:00,9.74,8.28,12.5,12.0,11.5,9.81,10.4,12.3,13.6,15.0
2022-10-10 03:00:00,11.0,9.91,13.3,12.5,12.2,9.87,10.2,13.0,14.8,15.6
2022-10-10 04:00:00,10.3,9.33,13.1,12.0,11.6,8.48,9.37,12.7,14.2,14.7
2022-10-10 05:00:00,10.8,10.6,13.3,12.5,12.6,10.4,9.81,13.1,15.0,15.2
2022-10-10 06:00:00,11.4,10.6,14.1,13.6,12.5,9.31,10.1,13.9,15.6,16.7
2022-10-10 07:00:00,14.0,12.3,15.0,13.3,13.6,11.3,11.1,14.4,16.2,16.9
2022-10-10 08:00:00,12.9,13.1,14.9,14.1,12.8,12.8,11.5,14.3,17.8,17.2
2022-10-10 09:00:00,14.9,13.4,15.7,15.6,17.2,17.6,18.8,17.1,18.2,20.3
2022-10-10 10:00:00,16.2,16.2,16.3,18.3,19.3,13.7,15.6,18.3,18.6,19.1
2022-10-10 11:00:00,17.9,16.1,15.9,20.3,20.3,15.2,16.4,19.0,20.2,22.6
2022-10-10 12:00:00,22.3,16.9,15.6,21.1,22.8,16.3,16.5,20.3,19.7,24.5
2022-10-10 13:00:00,20.2,14.7,15.2,20.0,17.9,15.8,15.5,18.9,19.9,24.2
2022-10-10 14:00:00,16.1,10.7,13.1,16.2,14.6,13.7,16.8,16.6,19.0,18.2
2022-10-10 15:00:00,14.2,8.91,12.1,15.4,12.8,17.3,52.4,15.7,17.8,16.6
2022-10-10 16:00:00,10.8,8.01,12.4,16.5,12.9,10.9,11.6,15.2,17.5,15.6
2022-10-10 17:00:00,11.9,9.42,11.0,14.7,16.0,10.7,10.7,15.6,15.5,15.5
2022-10-10 18:00:00,11.5,7.64,10.8,14.1,15.5,13.5,8.98,13.9,15.4,15.7
2022-10-10 19:00:00,8.46,6.09,10.7,9.37,10.9,9.27,8.49,12.9,13.2,13.0
2022-10-10 20:00:00,8.24,10.0,10.4,11.6,10.7,9.38,11.0,16.4,13.0,12.9
2022-10-10 21:00:00,10.9,15.3,12.4,12.1,10.9,8.00,10.1,14.8,14.4,13.6
2022-10-10 22:00:00,12.1,12.5,14.7,14.1,12.8,12.2,13.6,15.7,17.2,18.4
2022-10-10 23:00:00,14.3,14.3,16.5,18.0,13.5,12.9,12.5,16.0,17.0,16.1
2022-10-11 00:00:00,12.4,11.0,15.2,15.0,11.8,9.38,10.1,14.0,16.1,15.4
2022-10-11 01:00:00,11.4,10.2,15.2,13.6,10.9,9.55,9.27,12.9,15.0,16.7
2022-10-11 02:00:00,11.5,11.5,15.2,12.8,12.1,9.07,9.95,13.9,14.2,14.2
2022-10-11 03:00:00,14.0,11.4,15.3,15.5,12.3,9.77,10.2,13.6,15.6,17.1
2022-10-11 04:00:00,15.3,14.2,17.1,19.2,11.4,10.2,10.5,13.3,18.4,18.2
2022-10-11 05:00:00,17.8,19.8,17.3,23.7,17.2,23.3,23.8,20.2,31.1,30.2
2022-10-11 06:00:00,25.1,30.8,18.6,33.6,29.8,38.0,40.1,34.6,31.0,30.0
2022-10-11 07:00:00,32.5,45.0,20.1,44.4,42.6,51.9,41.6,48.9,25.7,31.9
2022-10-11 08:00:00,47.3,64.4,21.7,61.4,50.4,72.6,74.4,53.9,26.4,47.5
2022-10-11 09:00:00,55.8,79.3,19.5,49.4,63.6,69.5,62.2,62.0,22.9,20.5
2022-10-11 10:00:00,35.8,42.9,18.4,37.9,36.8,38.4,31.3,37.8,32.9,26.8
