"Time","Noise_LEQ {DeviceID=""AirSENCE-0322068B40233"", name=""Pollutant""}","Noise_LEQ {DeviceID=""AirSENCE-032206C140232"", name=""Pollutant""}","Noise_LEQ {DeviceID=""AirSENCE-0322223F40230"", name=""Pollutant""}","Noise_LEQ {DeviceID=""AirSENCE-032223EF40231"", name=""Pollutant""}","Noise_LEQ {DeviceID=""AirSENCE-1021BFD040215"", name=""Pollutant""}","Noise_LEQ {DeviceID=""AirSENCE-1021C46E40217"", name=""Pollutant""}","Noise_LEQ {DeviceID=""AirSENCE-1021C53740216"", name=""Pollutant""}","Noise_LEQ {DeviceID=""AirSENCE-1021C65A40214"", name=""Pollutant""}","Noise_LEQ {DeviceID=""AirSENCE-1021C6C640218"", name=""Pollutant""}","Noise_LEQ {DeviceID=""AirSENCE-1021C73840220"", name=""Pollutant""}"
2022-10-09 11:00:00,60.3,59.1,57.7,57.8,63.7,57.5,53.1,53.3,56.6,59.7
2022-10-09 12:00:00,60.9,59.9,57.6,57.9,63.2,57.8,53.1,52.2,56.9,61.2
2022-10-09 13:00:00,61.1,59.5,58.0,58.6,64.2,58.2,53.5,52.4,57.9,61.1
2022-10-09 14:00:00,62.2,60.9,58.6,59.2,64.9,57.8,53.4,52.5,57.8,61.5
2022-10-09 15:00:00,61.6,60.1,57.6,58.3,64.7,58.2,53.1,52.5,57.7,60.8
2022-10-09 16:00:00,61.6,60.5,58.3,58.6,64.2,58.1,53.6,52.1,58.0,61.5
2022-10-09 17:00:00,61.2,59.5,58.0,58.2,64.5,58.0,53.1,52.1,57.2,61.1
2022-10-09 18:00:00,60.9,60.6,58.6,58.5,64.6,58.0,53.4,52.6,57.2,61.4
2022-10-09 19:00:00,59.9,59.9,58.5,58.0,64.0,57.6,52.8,52.0,57.0,60.5
2022-10-09 20:00:00,59.1,59.1,58.0,57.0,65.4,57.7,52.5,52.9,57.7,61.9
2022-10-09 21:00:00,59.3,58.8,57.9,57.6,63.1,56.3,51.1,50.3,56.9,61.2
2022-10-09 22:00:00,59.0,58.7,58.0,57.6,63.2,57.6,52.4,51.6,57.3,61.0
2022-10-09 23:00:00,59.0,58.0,56.7,56.8,62.5,57.0,51.4,51.0,58.0,61.7
2022-10-10 00:00:00,57.1,56.3,55.6,56.3,61.4,55.3,50.4,50.2,56.2,60.0
2022-10-10 01:00:00,55.5,53.9,53.5,54.2,61.1,54.9,49.6,49.8,55.8,60.1
2022-10-10 02:00:00,52.2,50.4,51.2,52.5,58.7,52.4,46.8,46.8,55.0,59.7
2022-10-10 03:00:00,49.2,48.1,49.0,48.8,58.2,52.1,47.5,47.3,54.7,58.5
2022-10-10 04:00:00,44.4,44.1,46.5,47.7,55.9,48.4,43.3,43.2,53.1,57.7
2022-10-10 05:00:00,40.9,40.6,42.0,41.7,54.9,46.3,42.6,41.5,50.2,54.2
2022-10-10 06:00:00,47.3,44.2,42.4,43.3,56.5,47.5,42.8,42.8,50.9,54.8
2022-10-10 07:00:00,52.5,50.2,50.4,50.4,57.3,49.4,45.3,44.8,53.1,57.0
2022-10-10 08:00:00,54.9,52.7,53.1,52.6,57.4,52.1,46.9,46.1,54.3,57.7
2022-10-10 09:00:00,55.8,54.0,53.5,53.4,60.7,54.9,50.2,49.6,55.1,58.3
2022-10-10 10:00:00,57.9,56.2,55.8,55.2,61.8,56.0,51.7,50.1,54.6,58.9
2022-10-10 11:00:00,59.1,58.5,57.7,58.7,62.7,56.3,51.5,50.3,56.2,60.0
2022-10-10 12:00:00,60.1,59.5,57.9,58.0,64.8,58.9,54.1,52.2,57.3,61.0
2022-10-10 13:00:00,59.9,59.4,58.2,58.9,64.7,58.7,53.6,51.9,57.8,61.0
2022-10-10 14:00:00,60.3,59.7,57.9,58.6,65.0,57.9,53.2,52.0,57.3,60.6
2022-10-10 15:00:00,61.1,60.4,58.9,58.3,65.0,60.0,56.6,53.2,58.0,61.5
2022-10-10 16:00:00,61.9,61.0,58.6,58.5,65.0,59.0,54.5,53.6,58.3,62.2
2022-10-10 17:00:00,61.3,61.0,58.9,59.3,65.4,59.0,53.9,53.7,57.7,62.0
2022-10-10 18:00:00,61.1,60.9,58.1,59.3,64.0,58.0,53.2,51.8,58.0,61.3
2022-10-10 19:00:00,60.7,59.7,57.6,58.5,63.5,58.0,53.0,51.7,57.5,61.8
2022-10-10 20:00:00,60.0,59.1,57.5,57.9,63.5,57.9,53.2,51.7,57.4,61.2
2022-10-10 21:00:00,60.3,59.6,57.7,58.2,62.9,56.7,52.3,50.9,57.1,61.1
2022-10-10 22:00:00,58.8,59.1,57.1,58.0,62.5,58.6,52.3,51.7,57.6,61.2
2022-10-10 23:00:00,57.7,56.8,55.2,55.5,61.3,55.4,50.4,49.7,56.4,60.6
