"Time","Noise_Max {DeviceID=""AirSENCE-0322068B40233"", name=""Pollutant""}","Noise_Max {DeviceID=""AirSENCE-032206C140232"", name=""Pollutant""}","Noise_Max {DeviceID=""AirSENCE-0322223F40230"", name=""Pollutant""}","Noise_Max {DeviceID=""AirSENCE-032223EF40231"", name=""Pollutant""}","Noise_Max {DeviceID=""AirSENCE-1021BFD040215"", name=""Pollutant""}","Noise_Max {DeviceID=""AirSENCE-1021C46E40217"", name=""Pollutant""}","Noise_Max {DeviceID=""AirSENCE-1021C53740216"", name=""Pollutant""}","Noise_Max {DeviceID=""AirSENCE-1021C65A40214"", name=""Pollutant""}","Noise_Max {DeviceID=""AirSENCE-1021C6C640218"", name=""Pollutant""}","Noise_Max {DeviceID=""AirSENCE-1021C73840220"", name=""Pollutant""}"
2022-10-09 11:00:00,64.2,63.0,62.1,62.5,66.9,61.3,56.9,57.7,61.3,64.1
2022-10-09 12:00:00,64.4,63.7,62.1,62.2,65.7,61.5,56.9,56.6,61.2,65.6
2022-10-09 13:00:00,64.9,63.4,62.5,63.0,67.1,62.1,57.4,56.7,62.5,65.1
2022-10-09 14:00:00,65.8,64.9,63.1,63.7,67.6,61.5,57.1,56.8,61.9,65.7
2022-10-09 15:00:00,65.1,63.8,62.0,62.7,67.7,62.1,56.7,56.9,62.0,64.8
2022-10-09 16:00:00,65.3,64.3,62.9,62.8,66.9,61.8,57.5,56.0,62.2,65.6
2022-10-09 17:00:00,64.9,63.4,62.5,62.4,67.5,61.9,56.9,56.4,61.3,65.2
2022-10-09 18:00:00,64.5,64.6,63.0,62.9,67.3,61.7,57.3,56.9,61.3,65.8
2022-10-09 19:00:00,64.0,63.8,63.3,62.7,66.6,61.5,56.4,56.0,61.3,64.4
2022-10-09 20:00:00,63.2,63.2,62.6,61.8,68.4,61.6,56.2,57.2,61.9,66.2
2022-10-09 21:00:00,63.7,62.8,62.6,62.3,65.5,60.5,54.8,54.4,61.0,65.2
2022-10-09 22:00:00,63.1,62.4,62.3,62.2,66.3,61.7,56.3,55.9,61.6,65.2
2022-10-09 23:00:00,63.3,62.5,61.6,61.4,66.3,61.5,55.4,55.7,62.6,65.9
2022-10-10 00:00:00,62.0,61.3,60.7,61.3,65.4,59.9,55.0,55.4,60.7,64.3
2022-10-10 01:00:00,60.9,59.2,58.9,59.6,65.1,59.7,54.3,54.9,60.6,64.7
2022-10-10 02:00:00,57.8,55.8,56.9,58.4,63.2,57.8,51.7,52.5,60.0,64.4
2022-10-10 03:00:00,54.8,54.1,54.4,54.4,62.9,57.7,53.0,53.2,60.0,63.7
2022-10-10 04:00:00,49.9,49.4,52.0,53.4,60.7,54.3,48.4,48.6,58.5,63.2
2022-10-10 05:00:00,45.5,45.3,46.5,46.1,59.5,51.4,47.2,46.3,55.8,59.7
2022-10-10 06:00:00,52.3,49.8,47.7,48.3,61.7,53.2,47.8,48.5,56.3,60.4
2022-10-10 07:00:00,58.2,56.3,56.3,55.8,61.9,54.7,49.9,49.9,57.9,62.1
2022-10-10 08:00:00,60.5,58.1,58.8,58.0,62.2,57.6,52.0,51.7,59.3,62.6
2022-10-10 09:00:00,61.0,59.3,59.0,59.1,64.6,59.7,54.9,54.8,60.1,63.3
2022-10-10 10:00:00,62.5,60.9,60.8,60.5,65.4,60.8,56.2,54.9,59.2,63.7
2022-10-10 11:00:00,63.5,63.0,62.7,63.2,65.9,60.6,55.7,54.9,60.6,64.5
2022-10-10 12:00:00,64.6,63.8,62.4,62.5,68.0,62.9,57.7,56.4,61.7,65.3
2022-10-10 13:00:00,63.9,63.6,62.7,63.2,67.6,62.9,57.7,56.4,62.3,65.1
2022-10-10 14:00:00,64.1,63.7,62.4,63.1,67.5,61.4,56.8,56.0,61.4,64.6
