"Time","O3 {DeviceID=""AirSENCE-0322068B40233"", name=""Pollutant""}","O3 {DeviceID=""AirSENCE-032206C140232"", name=""Pollutant""}","O3 {DeviceID=""AirSENCE-0322223F40230"", name=""Pollutant""}","O3 {DeviceID=""AirSENCE-032223EF40231"", name=""Pollutant""}","O3 {DeviceID=""AirSENCE-1021BFD040215"", name=""Pollutant""}","O3 {DeviceID=""AirSENCE-1021C46E40217"", name=""Pollutant""}","O3 {DeviceID=""AirSENCE-1021C53740216"", name=""Pollutant""}","O3 {DeviceID=""AirSENCE-1021C65A40214"", name=""Pollutant""}","O3 {DeviceID=""AirSENCE-1021C6C640218"", name=""Pollutant""}","O3 {DeviceID=""AirSENCE-1021C73840220"", name=""Pollutant""}"
2022-10-09 11:00:00,25.2,39.8,28.3,26.9,27.8,30.0,24.5,24.0,16.5,25.8
2022-10-09 12:00:00,30.3,43.4,26.8,29.2,26.2,26.0,22.0,20.5,17.4,21.8
2022-10-09 13:00:00,34.7,48.8,25.7,29.0,29.3,27.3,23.7,25.9,18.5,27.8
2022-10-09 14:00:00,38.6,54.8,30.1,34.4,35.0,34.8,30.8,30.1,23.2,32.6
2022-10-09 15:00:00,45.2,60.8,48.4,48.1,40.8,39.6,35.8,39.3,29.2,41.1
2022-10-09 16:00:00,37.0,53.6,42.5,41.8,38.1,35.5,32.5,34.4,25.1,35.7
2022-10-09 17:00:00,35.9,57.4,34.7,36.3,36.7,33.9,31.7,30.5,23.1,33.4
2022-10-09 18:00:00,38.0,59.9,39.4,41.0,38.2,36.0,33.3,33.1,26.0,38.4
2022-10-09 19:00:00,40.2,62.7,38.5,37.5,40.6,38.7,35.3,34.9,25.4,36.5
2022-10-09 20:00:00,42.7,65.7,40.0,38.2,44.3,42.6,39.4,38.3,28.7,38.2
2022-10-09 21:00:00,41.2,63.0,40.1,37.0,42.9,42.4,38.5,36.5,28.3,38.2
2022-10-09 22:00:00,33.7,50.7,37.8,34.6,34.3,32.6,30.9,30.4,23.6,36.2
2022-10-09 23:00:00,30.6,45.8,36.2,31.6,33.2,28.5,27.2,26.8,18.8,30.7
