"Time","PM10 {DeviceID=""AirSENCE-0322068B40233"", name=""Pollutant""}","PM10 {DeviceID=""AirSENCE-032206C140232"", name=""Pollutant""}","PM10 {DeviceID=""AirSENCE-0322223F40230"", name=""Pollutant""}","PM10 {DeviceID=""AirSENCE-032223EF40231"", name=""Pollutant""}","PM10 {DeviceID=""AirSENCE-1021BFD040215"", name=""Pollutant""}","PM10 {DeviceID=""AirSENCE-1021C46E40217"", name=""Pollutant""}","PM10 {DeviceID=""AirSENCE-1021C53740216"", name=""Pollutant""}","PM10 {DeviceID=""AirSENCE-1021C65A40214"", name=""Pollutant""}","PM10 {DeviceID=""AirSENCE-1021C6C640218"", name=""Pollutant""}","PM10 {DeviceID=""AirSENCE-1021C73840220"", name=""Pollutant""}"
2022-10-09 11:00:00,2.66,4.15,2.79,3.54,4.20,3.76,4.64,3.13,4.11,4.23
2022-10-09 12:00:00,2.38,4.08,2.62,3.07,3.98,3.60,4.26,2.87,4.08,4.29
2022-10-09 13:00:00,1.83,3.11,2.07,2.68,2.92,2.57,3.33,1.99,3.34,3.21
2022-10-09 14:00:00,1.87,3.05,2.01,2.57,2.89,2.74,3.14,2.19,3.25,3.83
2022-10-09 15:00:00,3.40,5.75,3.57,4.19,6.62,7.11,10.2,5.08,5.97,6.58
2022-10-09 16:00:00,3.76,6.29,3.58,4.35,6.88,6.55,8.75,5.35,6.61,6.55
2022-10-09 17:00:00,3.44,5.08,3.45,4.02,4.22,3.98,4.99,3.10,5.03,4.98
2022-10-09 18:00:00,3.78,5.99,3.81,4.47,5.66,4.92,6.43,4.36,5.30,5.00
2022-10-09 19:00:00,2.94,4.81,4.10,4.71,4.53,3.92,4.97,3.77,4.71,4.93
2022-10-09 20:00:00,2.00,3.33,2.63,3.19,2.78,2.63,3.28,2.37,3.86,3.77
2022-10-09 21:00:00,2.36,3.79,4.02,4.60,3.83,3.24,4.07,3.03,3.13,3.70
2022-10-09 22:00:00,3.49,5.63,4.17,5.41,6.37,4.73,5.75,3.99,4.48,5.72
2022-10-09 23:00:00,3.79,5.79,4.39,5.08,5.66,5.71,6.33,4.23,5.30,5.78
2022-10-10 00:00:00,3.84,6.15,4.14,5.06,6.98,6.21,7.18,5.07,7.09,7.50
2022-10-10 01:00:00,3.42,5.73,3.44,4.34,6.36,5.63,6.71,4.52,6.72,6.67
2022-10-10 02:00:00,3.32,5.29,3.12,4.17,5.45,4.52,5.75,3.88,5.84,5.68
2022-10-10 03:00:00,3.09,4.72,2.83,3.35,4.92,4.28,5.04,3.26,5.31,5.35
2022-10-10 04:00:00,3.05,4.82,3.03,3.83,5.25,4.38,5.34,3.61,5.18,5.63
2022-10-10 05:00:00,3.02,5.19,3.05,3.68,4.64,4.08,5.05,3.52,4.52,4.76
2022-10-10 06:00:00,2.55,4.26,2.29,2.78,4.34,4.11,4.54,2.95,4.12,4.26
2022-10-10 07:00:00,2.77,4.59,2.62,3.29,3.94,3.39,4.28,2.41,4.66,4.35
2022-10-10 08:00:00,2.90,4.82,2.65,3.31,4.96,4.36,5.40,3.41,4.60,5.06
2022-10-10 09:00:00,2.98,4.76,2.23,2.93,4.75,4.27,5.18,3.22,4.86,4.95
2022-10-10 10:00:00,2.23,4.05,1.97,2.68,3.77,3.33,4.02,2.39,3.95,3.98
