"Time","WindDirection {DeviceID=""AirSENCE-032206C140232"", name=""Pollutant""}","WindDirection {DeviceID=""AirSENCE-032223EF40231"", name=""Pollutant""}","WindDirection {DeviceID=""AirSENCE-1021C46E40217"", name=""Pollutant""}","WindDirection {DeviceID=""AirSENCE-1021C65A40214"", name=""Pollutant""}","WindDirection {DeviceID=""AirSENCE-1021C6C640218"", name=""Pollutant""}"
2022-10-09 12:00:00,272,173,319,301,292
2022-10-09 13:00:00,270,189,312,297,266
2022-10-09 14:00:00,273,183,301,300,277
2022-10-09 15:00:00,189,215,169,155,160
2022-10-09 16:00:00,188,225,182,210,171
2022-10-09 17:00:00,268,214,248,298,194
2022-10-09 18:00:00,264,219,206,278,189
2022-10-09 19:00:00,264,203,284,304,217
2022-10-09 20:00:00,268,182,310,301,273
2022-10-09 21:00:00,285,181,325,300,298
2022-10-09 22:00:00,265,163,304,298,289
2022-10-09 23:00:00,228,187,322,305,291
2022-10-10 00:00:00,83.9,57.7,309,302,282
2022-10-10 01:00:00,106,65.5,302,287,223
2022-10-10 02:00:00,118,167,292,281,224
2022-10-10 03:00:00,100,63.8,292,268,236
2022-10-10 04:00:00,94.2,31.2,290,298,274
2022-10-10 05:00:00,102,75.2,293,302,299
2022-10-10 06:00:00,210,124,301,305,255
2022-10-10 07:00:00,159,174,314,315,232
2022-10-10 08:00:00,149,129,314,312,312
2022-10-10 09:00:00,221,90.1,326,296,308
2022-10-10 10:00:00,182,96.3,330,300,314
2022-10-10 11:00:00,185,145,306,266,286
2022-10-10 12:00:00,246,211,299,278,292
2022-10-10 13:00:00,257,198,225,272,262
2022-10-10 14:00:00,222,186,263,254,243
2022-10-10 15:00:00,200,203,163,157,205
2022-10-10 16:00:00,185,200,191,175,155
2022-10-10 17:00:00,195,189,178,157,155
2022-10-10 18:00:00,178,182,136,154,205
2022-10-10 19:00:00,183,171,147,165,170
2022-10-10 20:00:00,132,180,270,260,159
2022-10-10 21:00:00,104,174,275,281,176
2022-10-10 22:00:00,269,176,314,310,305
2022-10-10 23:00:00,284,181,296,297,304
2022-10-11 00:00:00,270,193,274,305,296
2022-10-11 01:00:00,245,188,306,306,306
2022-10-11 02:00:00,143,268,299,315,307
2022-10-11 03:00:00,61.3,232,268,298,229
2022-10-11 04:00:00,83.5,164,324,309,167
2022-10-11 05:00:00,167,170,328,331,163
2022-10-11 06:00:00,142,158,323,323,162
2022-10-11 07:00:00,142,248,323,234,245
2022-10-11 08:00:00,82.6,258,320,321,275
2022-10-11 09:00:00,176,244,270,293,302
2022-10-11 10:00:00,185,195,146,126,291
2022-10-11 11:00:00,183,188,170,174,265
2022-10-11 12:00:00,234,213,225,239,159
2022-10-11 13:00:00,248,202,233,244,148
2022-10-11 14:00:00,189,206,148,195,150
2022-10-11 15:00:00,182,196,158,160,155
2022-10-11 16:00:00,177,182,147,152,159
2022-10-11 17:00:00,176,180,144,160,247
2022-10-11 18:00:00,181,177,145,153,287
2022-10-11 19:00:00,127,226,168,165,160
2022-10-11 20:00:00,85.3,226,179,187,156
2022-10-11 21:00:00,72.5,216,167,184,156
2022-10-11 22:00:00,62.3,237,146,158,162
2022-10-11 23:00:00,188,230,175,149,165
2022-10-12 00:00:00,192,234,179,147,161
2022-10-12 01:00:00,195,237,184,146,162
2022-10-12 02:00:00,192,240,198,146,163
2022-10-12 03:00:00,202,242,188,151,162
2022-10-12 04:00:00,189,234,197,150,165
2022-10-12 05:00:00,186,230,167,151,172
2022-10-12 06:00:00,184,234,207,145,168
2022-10-12 07:00:00,126,223,202,148,165
2022-10-12 08:00:00,161,196,170,154,167
2022-10-12 09:00:00,177,184,158,144,183
2022-10-12 10:00:00,185,197,157,157,168
2022-10-12 11:00:00,184,211,158,155,158
2022-10-12 12:00:00,187,212,158,153,157
2022-10-12 13:00:00,197,206,155,155,160
2022-10-12 14:00:00,195,205,163,154,162
2022-10-12 15:00:00,195,216,159,157,163
2022-10-12 16:00:00,193,213,150,154,160
2022-10-12 17:00:00,176,205,150,157,170
2022-10-12 18:00:00,175,195,150,152,189
2022-10-12 19:00:00,175,201,143,159,193
2022-10-12 20:00:00,180,187,145,146,211
2022-10-12 21:00:00,179,202,150,153,177
2022-10-12 22:00:00,219,224,168,154,159
2022-10-12 23:00:00,187,199,163,162,175
2022-10-13 00:00:00,188,197,156,157,173
2022-10-13 01:00:00,200,219,163,155,165
2022-10-13 02:00:00,188,207,177,153,163
2022-10-13 03:00:00,196,212,235,156,143
2022-10-13 04:00:00,192,199,188,151,132
2022-10-13 05:00:00,198,182,187,151,169
2022-10-13 06:00:00,192,179,219,156,187
2022-10-13 07:00:00,201,196,212,152,191
2022-10-13 08:00:00,210,207,214,185,180
2022-10-13 09:00:00,239,158,269,280,246
2022-10-13 10:00:00,261,184,321,306,258
2022-10-13 11:00:00,251,208,238,282,194
2022-10-13 12:00:00,192,219,207,205,168
2022-10-13 13:00:00,201,245,207,174,157
2022-10-13 14:00:00,193,233,172,163,152
2022-10-13 15:00:00,190,212,157,153,156
2022-10-13 16:00:00,206,220,167,156,155
2022-10-13 17:00:00,213,232,167,173,155
2022-10-13 18:00:00,242,235,189,231,152
2022-10-13 19:00:00,226,233,189,236,155
2022-10-13 20:00:00,197,233,188,216,157
2022-10-13 21:00:00,130,237,179,183,159
2022-10-13 22:00:00,92.5,234,185,190,160
2022-10-13 23:00:00,163,200,251,286,157
2022-10-14 00:00:00,110,192,304,300,153
2022-10-14 01:00:00,188,186,303,321,160
2022-10-14 02:00:00,193,203,224,226,165
2022-10-14 03:00:00,193,231,185,152,163
2022-10-14 04:00:00,207,228,212,150,158
2022-10-14 05:00:00,159,228,195,168,154
2022-10-14 06:00:00,124,241,250,192,156
2022-10-14 07:00:00,82.1,227,293,243,155
2022-10-14 08:00:00,170,229,241,240,166
2022-10-14 09:00:00,188,223,266,264,162
2022-10-14 10:00:00,220,226,289,278,156
2022-10-14 11:00:00,241,233,247,264,180
2022-10-14 12:00:00,242,229,180,194,165
2022-10-14 13:00:00,201,238,165,184,153
2022-10-14 14:00:00,201,206,155,161,158
2022-10-14 15:00:00,200,202,171,157,158
2022-10-14 16:00:00,200,196,183,146,164
2022-10-14 17:00:00,183,191,158,157,177
2022-10-14 18:00:00,181,182,151,151,236
2022-10-14 19:00:00,190,230,160,155,163
2022-10-14 20:00:00,126,173,161,148,188
2022-10-14 21:00:00,105,165,188,189,307
2022-10-14 22:00:00,185,213,212,223,307
2022-10-14 23:00:00,183,188,150,160,302
2022-10-15 00:00:00,182,189,160,159,303
2022-10-15 01:00:00,191,194,167,153,306
2022-10-15 02:00:00,187,189,153,144,267
2022-10-15 03:00:00,179,185,153,147,248
2022-10-15 04:00:00,186,187,152,157,274
2022-10-15 05:00:00,188,189,148,152,299
