"Time","WindGust {DeviceID=""AirSENCE-032206C140232"", name=""Pollutant""}","WindGust {DeviceID=""AirSENCE-032223EF40231"", name=""Pollutant""}","WindGust {DeviceID=""AirSENCE-1021C46E40217"", name=""Pollutant""}","WindGust {DeviceID=""AirSENCE-1021C65A40214"", name=""Pollutant""}","WindGust {DeviceID=""AirSENCE-1021C6C640218"", name=""Pollutant""}"
2022-10-09 12:00:00,2.53,1.80,3.37,3.03,2.10
2022-10-09 13:00:00,2.09,1.46,2.69,2.66,1.98
2022-10-09 14:00:00,1.40,1.60,2.37,2.34,1.76
2022-10-09 15:00:00,1.46,2.10,1.64,2.65,2.63
2022-10-09 16:00:00,0.739,0.967,1.32,1.84,1.68
2022-10-09 17:00:00,1.41,1.42,1.68,2.46,2.68
2022-10-09 18:00:00,0.839,1.38,1.62,2.06,2.31
2022-10-09 19:00:00,1.79,1.20,2.22,3.25,2.31
2022-10-09 20:00:00,1.87,1.04,2.38,3.42,2.08
2022-10-09 21:00:00,1.62,0.554,2.12,2.30,1.69
2022-10-09 22:00:00,1.04,0.632,1.33,1.43,1.41
2022-10-09 23:00:00,1.09,0.995,1.30,1.30,1.23
2022-10-10 00:00:00,1.65,2.31,1.80,1.50,1.37
2022-10-10 01:00:00,1.12,2.03,1.17,1.19,1.07
2022-10-10 02:00:00,0.623,1.20,0.918,0.981,0.896
2022-10-10 03:00:00,0.798,1.71,1.01,0.990,1.07
2022-10-10 04:00:00,0.935,1.98,1.20,1.11,1.09
2022-10-10 05:00:00,0.711,1.65,1.16,0.993,1.29
2022-10-10 06:00:00,0.302,0.792,0.844,0.682,1.02
2022-10-10 07:00:00,0.499,0.988,1.11,0.970,1.12
2022-10-10 08:00:00,0.614,1.22,1.08,0.956,1.43
2022-10-10 09:00:00,0.855,1.40,1.58,1.19,1.45
2022-10-10 10:00:00,1.14,1.77,1.97,1.41,1.63
2022-10-10 11:00:00,1.09,1.59,1.53,1.36,1.28
2022-10-10 12:00:00,1.79,1.63,2.49,2.07,1.55
2022-10-10 13:00:00,1.62,2.17,2.35,2.37,1.91
2022-10-10 14:00:00,1.68,1.76,2.26,2.18,1.49
2022-10-10 15:00:00,2.24,3.08,2.10,2.85,2.95
2022-10-10 16:00:00,2.33,3.08,1.24,2.07,3.79
2022-10-10 17:00:00,2.15,3.00,1.12,1.79,3.22
2022-10-10 18:00:00,1.70,2.31,1.30,2.06,1.89
2022-10-10 19:00:00,1.57,1.46,1.20,1.76,1.14
2022-10-10 20:00:00,0.207,1.14,0.740,0.841,1.19
2022-10-10 21:00:00,0.224,1.14,1.27,1.33,2.17
2022-10-10 22:00:00,1.58,0.724,1.65,2.54,1.63
2022-10-10 23:00:00,1.43,0.608,1.65,1.76,1.92
2022-10-11 00:00:00,1.68,0.800,1.59,2.11,1.79
2022-10-11 01:00:00,1.74,0.543,1.65,2.82,1.80
2022-10-11 02:00:00,1.50,0.569,1.28,1.29,2.10
2022-10-11 03:00:00,0.686,0.372,1.07,0.887,1.58
2022-10-11 04:00:00,0.405,0.171,0.783,0.551,1.59
2022-10-11 05:00:00,0.0405,0.0676,0.859,0.651,1.07
2022-10-11 06:00:00,0.0784,0.149,0.848,0.623,1.10
2022-10-11 07:00:00,0.234,0.129,0.666,0.764,0.765
2022-10-11 08:00:00,0.264,0.0306,1.22,0.781,1.31
2022-10-11 09:00:00,0.493,0.384,0.766,0.903,2.08
2022-10-11 10:00:00,1.50,1.29,0.794,1.32,2.07
2022-10-11 11:00:00,1.85,2.35,1.26,1.67,1.51
2022-10-11 12:00:00,1.25,1.92,1.84,1.82,3.15
2022-10-11 13:00:00,1.07,1.81,1.53,1.68,2.93
2022-10-11 14:00:00,1.36,1.96,1.37,1.66,2.79
2022-10-11 15:00:00,2.02,2.79,1.81,2.70,3.23
2022-10-11 16:00:00,2.52,3.05,1.43,2.28,2.27
2022-10-11 17:00:00,2.42,2.76,1.63,2.98,1.45
