"Time","WindSpeed {DeviceID=""AirSENCE-032206C140232"", name=""Pollutant""}","WindSpeed {DeviceID=""AirSENCE-032223EF40231"", name=""Pollutant""}","WindSpeed {DeviceID=""AirSENCE-1021C46E40217"", name=""Pollutant""}","WindSpeed {DeviceID=""AirSENCE-1021C65A40214"", name=""Pollutant""}","WindSpeed {DeviceID=""AirSENCE-1021C6C640218"", name=""Pollutant""}"
2022-10-09 12:00:00,1.92,1.17,2.30,2.15,1.37
2022-10-09 13:00:00,1.54,0.999,1.92,1.97,1.32
2022-10-09 14:00:00,1.04,1.12,1.66,1.73,1.24
2022-10-09 15:00:00,0.978,1.56,1.16,1.88,1.98
2022-10-09 16:00:00,0.568,0.700,0.947,1.34,1.27
2022-10-09 17:00:00,1.07,1.00,1.22,1.78,1.86
2022-10-09 18:00:00,0.626,0.961,1.10,1.40,1.56
2022-10-09 19:00:00,1.27,0.846,1.49,2.26,1.48
2022-10-09 20:00:00,1.43,0.755,1.60,2.47,1.35
2022-10-09 21:00:00,1.17,0.448,1.56,1.76,1.13
2022-10-09 22:00:00,0.758,0.489,0.973,1.12,0.999
2022-10-09 23:00:00,0.791,0.725,1.01,1.02,0.897
2022-10-10 00:00:00,1.06,1.70,1.31,1.10,0.968
2022-10-10 01:00:00,0.756,1.47,0.840,0.832,0.752
2022-10-10 02:00:00,0.492,0.894,0.680,0.713,0.641
2022-10-10 03:00:00,0.594,1.27,0.767,0.700,0.761
2022-10-10 04:00:00,0.694,1.46,0.869,0.812,0.760
2022-10-10 05:00:00,0.539,1.26,0.829,0.715,0.907
2022-10-10 06:00:00,0.243,0.585,0.638,0.500,0.762
2022-10-10 07:00:00,0.409,0.748,0.854,0.704,0.818
2022-10-10 08:00:00,0.491,0.884,0.863,0.732,1.06
2022-10-10 09:00:00,0.645,1.02,1.27,0.875,1.04
2022-10-10 10:00:00,0.817,1.27,1.50,1.07,1.19
2022-10-10 11:00:00,0.794,1.10,1.13,1.03,0.897
2022-10-10 12:00:00,1.30,1.13,1.82,1.54,1.06
2022-10-10 13:00:00,1.16,1.51,1.59,1.64,1.33
2022-10-10 14:00:00,1.18,1.18,1.64,1.66,1.04
2022-10-10 15:00:00,1.43,2.10,1.51,2.00,2.10
2022-10-10 16:00:00,1.50,2.11,0.898,1.42,2.88
2022-10-10 17:00:00,1.37,2.09,0.795,1.30,2.45
2022-10-10 18:00:00,1.12,1.63,0.985,1.53,1.38
2022-10-10 19:00:00,1.06,1.07,0.900,1.25,0.827
2022-10-10 20:00:00,0.161,0.864,0.552,0.623,1.03
2022-10-10 21:00:00,0.195,0.839,0.911,0.938,1.74
2022-10-10 22:00:00,1.16,0.564,1.14,1.99,1.05
2022-10-10 23:00:00,1.08,0.475,1.15,1.34,1.28
2022-10-11 00:00:00,1.35,0.592,1.07,1.61,1.23
2022-10-11 01:00:00,1.35,0.410,1.18,2.17,1.22
2022-10-11 02:00:00,1.03,0.477,0.976,1.00,1.45
2022-10-11 03:00:00,0.541,0.316,0.809,0.674,1.25
2022-10-11 04:00:00,0.304,0.147,0.598,0.428,1.30
2022-10-11 05:00:00,0.0391,0.0625,0.728,0.489,0.889
2022-10-11 06:00:00,0.0690,0.125,0.664,0.459,0.881
2022-10-11 07:00:00,0.209,0.111,0.515,0.583,0.564
2022-10-11 08:00:00,0.249,0.0270,1.02,0.610,0.970
2022-10-11 09:00:00,0.408,0.292,0.636,0.695,1.54
2022-10-11 10:00:00,1.01,0.915,0.608,0.939,1.52
2022-10-11 11:00:00,1.26,1.64,0.944,1.16,1.10
2022-10-11 12:00:00,0.861,1.33,1.21,1.30,2.39
2022-10-11 13:00:00,0.766,1.26,1.08,1.21,2.27
2022-10-11 14:00:00,0.934,1.39,0.951,1.14,2.16
2022-10-11 15:00:00,1.31,1.98,1.22,1.91,2.36
2022-10-11 16:00:00,1.61,2.18,1.02,1.61,1.59
2022-10-11 17:00:00,1.55,1.94,1.18,2.22,1.08
2022-10-11 18:00:00,1.31,1.12,1.11,1.94,1.29
2022-10-11 19:00:00,0.548,1.21,1.42,2.19,2.71
2022-10-11 20:00:00,0.271,1.27,1.86,1.71,3.42
2022-10-11 21:00:00,0.159,1.18,1.42,1.79,2.80
2022-10-11 22:00:00,0.318,1.14,1.20,2.28,1.82
2022-10-11 23:00:00,0.744,1.24,0.832,2.60,1.92
2022-10-12 00:00:00,0.801,1.28,0.990,2.76,2.18
2022-10-12 01:00:00,0.934,1.30,1.13,3.05,2.19
2022-10-12 02:00:00,0.852,1.30,0.956,2.78,2.25
2022-10-12 03:00:00,0.733,1.22,1.10,2.81,2.09
2022-10-12 04:00:00,0.632,0.957,0.863,2.46,1.84
2022-10-12 05:00:00,0.431,1.02,0.728,2.51,1.62
2022-10-12 06:00:00,0.389,0.969,0.528,1.82,1.73
2022-10-12 07:00:00,0.439,0.889,0.530,1.37,1.54
2022-10-12 08:00:00,0.623,1.13,0.684,1.56,1.55
2022-10-12 09:00:00,1.10,1.61,0.770,1.29,1.64
2022-10-12 10:00:00,1.49,2.37,1.45,2.25,2.44
2022-10-12 11:00:00,1.52,2.66,1.56,2.52,3.05
2022-10-12 12:00:00,1.38,2.45,1.50,2.49,3.01
2022-10-12 13:00:00,1.32,2.88,2.15,3.96,3.06
2022-10-12 14:00:00,1.27,2.60,1.62,2.93,3.17
2022-10-12 15:00:00,1.53,2.36,1.60,2.66,2.68
2022-10-12 16:00:00,1.19,2.42,1.24,3.03,3.01
2022-10-12 17:00:00,1.43,1.86,1.45,2.57,2.25
